Date,Title,Sentiment
2010-07-01,Tesla Unveils Roadster 2.5 at New Stores,Positive
2010-07-10,Concerns Over Tesla's Financial Viability,Negative
2010-07-15,Tesla's Stock Sees Record High,Positive
2010-08-05,Tesla Secures Major Funding for Model S,Positive
2010-08-15,Criticism Arises Over Tesla's Manufacturing Delays,Negative
2010-08-25,Model S Design Praised by Automotive Experts,Positive
2010-09-05,Tesla's Model S Pre-Orders Hit Milestone,Positive
2010-09-10,Production Woes Continue for Tesla Roadster,Negative
2010-09-15,Elon Musk Announces Bold Expansion Plans,Positive
2010-09-20,Critics Question Tesla's Profitability Projections,Negative
2010-09-25,Tesla Signs Strategic Partnership with Panasonic,Positive
2010-10-05,Tesla's Model S Production Plans on Track,Positive
2010-10-12,Tesla Reports Q3 Losses Amidst Expansion Efforts,Negative
2010-10-20,Tesla Opens New Showroom in Tokyo,Positive
2010-10-25,Analysts Express Concerns Over Tesla's Long-Term Viability,Negative
2010-10-28,Tesla Partners with Panasonic for Battery Development,Positive
2010-11-05,Tesla Expands Battery Development Partnership,Positive
2010-11-12,Critics Highlight Tesla's High Operating Costs,Negative
2010-11-18,Elon Musk Talks Innovation at Conference,Positive
2010-11-23,Concerns Over Tesla's Profit Margins Resurface,Negative
2010-11-30,Tesla Secures Additional Funding for Model S,Positive
2010-12-03,Tesla Achieves Record Deliveries for Roadster,Positive
2010-12-10,Criticism Mounts Over Tesla's Roadster Pricing,Negative
2010-12-15,Elon Musk Outlines Ambitious Future for EVs,Positive
2010-12-20,Concerns Raised Over Delayed Model S Rollout,Negative
2010-12-28,Tesla Announces Partnership to Expand Charging Network,Positive
2011-01-05,Tesla Hits Milestone with Model S Production Plan,Positive
2011-01-12,Tesla Reports Increased Losses Amid Expansion,Negative
2011-01-18,Tesla's Global Market Strategy Garners Praise,Positive
2011-01-22,Concerns Rise Over Tesla's Long-Term Sustainability,Negative
2011-01-28,Tesla Partners with Panasonic for Advanced Batteries,Positive
2011-02-05,Tesla Advances Model S Production Milestones,Positive
2011-02-12,Tesla Reports Significant Losses for Q4 2010,Negative
2011-02-18,Tesla's Global Expansion Draws Investor Interest,Positive
2011-02-23,Concerns Over Tesla's Growing Operational Costs,Negative
2011-02-28,Tesla and Panasonic Collaborate on Battery Innovation,Positive
2011-03-05,Tesla Advances Model S Production Milestones,Positive
2011-03-12,Tesla Reports Significant Losses for Q4 2010,Negative
2011-03-18,Tesla's Global Expansion Draws Investor Interest,Positive
2011-03-23,Concerns Over Tesla's Growing Operational Costs,Negative
2011-03-28,Tesla and Panasonic Collaborate on Battery Innovation,Positive
2011-04-05,Tesla Advances Model S Production Milestones,Positive
2011-04-12,Tesla Reports Significant Losses for Q1 2011,Negative
